,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
1684,2011,DODGE,NITRO,54,54,61,87
1685,2011,FORD,EDGE,72,72,73,73
1686,2011,FORD,ESCAPE,69,79,66,73
1687,2011,FORD,EXPEDITION,72,71,63,76
1688,2011,FORD,EXPEDITION EL,72,71,63,76
1689,2011,FORD,EXPLORER,68,60,78,76
1690,2011,FORD,F150 (HERITAGE) SUPER CAB,82,77,72,86
1691,2011,FORD,FIESTA,58,63,73,67
1692,2011,FORD,FLEX,72,64,81,73
1693,2011,FORD,FOCUS,67,82,61,68
1694,2011,FORD,FUSION,76,81,71,72
1695,2011,FORD,MUSTANG,77,79,74,74
1696,2011,FORD,RANGER REGULAR CAB,65,85,43,85
1697,2011,FORD,F250 CREW CAB,75,68,67,90
1698,2011,FORD,F350 SUPER CAB,75,68,67,90
1699,2011,FORD,ECONOLINE E250 CARGO,75,68,67,90
1700,2011,FORD,TAURUS,82,85,69,69
1701,2011,GMC,ACADIA,67,69,70,71
1702,2011,GMC,SIERRA 1500 DOUBLE CAB,80,82,57,89
1703,2011,GMC,SIERRA 1500 LIMITED DOUBLE CAB,80,82,57,89
1704,2011,GMC,TERRAIN,71,77,71,73
1705,2011,GMC,YUKON XL,80,86,60,78
1706,2011,HONDA,ACCORD CROSSTOUR,78,85,68,79
1707,2011,HONDA,ACCORD,78,85,68,79
1708,2011,HONDA,CR-V,77,90,65,81
1709,2011,HONDA,CR-Z,70,79,68,73
1710,2011,HONDA,ELEMENT,69,79,72,77
1711,2011,HONDA,FIT,67,81,67,77
1712,2011,HONDA,INSIGHT,62,80,53,71
1713,2011,HONDA,ODYSSEY,71,71,72,74
1714,2011,HONDA,PILOT,68,70,68,74
1715,2011,HONDA,RIDGELINE,78,86,67,79
1716,2011,HYUNDAI,ACCENT,51,69,56,68
1717,2011,HYUNDAI,AZERA,74,80,58,68
1718,2011,HYUNDAI,ELANTRA,63,66,70,74
1719,2011,HYUNDAI,ELANTRA GT,63,66,70,74
1720,2011,HYUNDAI,GENESIS,82,82,71,70
1721,2011,HYUNDAI,SANTA FE,70,76,64,77
1722,2011,HYUNDAI,SONATA,70,68,74,73
1723,2011,HYUNDAI,TUCSON,66,67,78,75
1724,2011,HYUNDAI,VERACRUZ,68,70,71,65
1725,2011,INFINITI,QX50,77,70,69,72
1726,2011,JAGUAR,XF,83,83,74,67
1727,2011,JAGUAR,XJ,81,75,74,67
1728,2011,JEEP,COMPASS,64,75,70,71
1729,2011,JEEP,GRAND CHEROKEE,72,69,75,78
1730,2011,JEEP,LIBERTY,56,63,60,74
1731,2011,JEEP,PATRIOT,63,76,67,68
1732,2011,JEEP,WRANGLER,59,63,61,88
1733,2011,JEEP,WRANGLER UNLIMITED,59,63,61,88
1734,2011,KIA,FORTE,66,74,67,69
1735,2011,KIA,FORTE5,66,74,67,69
1736,2011,KIA,FORTE KOUP,66,74,67,69
1737,2011,KIA,OPTIMA,68,66,73,73
1738,2011,KIA,RIO,64,80,66,65
1739,2011,KIA,SEDONA,57,65,56,67
1740,2011,KIA,SORENTO,68,71,70,70
1741,2011,KIA,SOUL,71,80,67,79
1742,2011,KIA,SPORTAGE,69,76,75,74
1743,2011,LINCOLN,MKS,84,86,71,66
1744,2011,LINCOLN,MKX,76,74,68,72
1745,2011,LINCOLN,MKZ,83,90,65,69
1746,2011,LINCOLN,NAVIGATOR,75,70,63,73
1747,2011,LINCOLN,NAVIGATOR L,75,70,63,73
1748,2011,MAZDA,CX-7,66,76,68,64
1749,2011,MAZDA,CX-9,74,82,69,67
1750,2011,MAZDA,MAZDA6,67,71,67,71
1751,2011,MERCEDES-BENZ,C-CLASS,80,84,65,72
1752,2011,MERCEDES-BENZ,E-CLASS,86,88,72,68
1753,2011,MERCEDES-BENZ,GL-CLASS,83,81,67,69
1754,2011,MERCEDES-BENZ,GLK-CLASS,79,82,65,71
1755,2011,MERCEDES-BENZ,M-CLASS,81,81,70,70
1756,2011,MINI,CLUBMAN,66,67,78,65
1757,2011,MINI,CONVERTIBLE,66,67,78,65
1758,2011,MINI,COUNTRYMAN,66,57,88,93
1759,2011,MINI,HARDTOP,66,67,78,65
1760,2011,NISSAN,ALTIMA,74,80,68,73
1761,2011,NISSAN,ARMADA,67,59,69,76
1762,2011,NISSAN,FRONTIER CREW CAB,71,84,56,82
1763,2011,NISSAN,JUKE,62,67,74,70
1764,2011,NISSAN,MAXIMA,76,76,68,69
1765,2011,NISSAN,PATHFINDER,68,74,65,71
1766,2011,NISSAN,ROGUE,65,75,65,72
1767,2011,NISSAN,SENTRA,66,76,65,70
1768,2011,NISSAN,TITAN SINGLE CAB,74,70,63,85
1769,2011,NISSAN,XTERRA,69,81,63,73
1770,2011,PORSCHE,911,91,91,78,69
1771,2011,PORSCHE,CAYENNE,86,76,87,69
1772,2011,SCION,TC,63,60,78,68
1773,2011,SCION,XB,72,81,69,75
1774,2011,SUBARU,FORESTER,66,80,60,74
1775,2011,SUBARU,LEGACY,72,76,68,76
1776,2011,TOYOTA,4RUNNER,79,85,66,88
1777,2011,TOYOTA,AVALON,84,90,64,74
1778,2011,TOYOTA,CAMRY,76,86,64,78
1779,2011,TOYOTA,CAMRY HYBRID,76,86,64,78
1780,2011,TOYOTA,COROLLA,72,86,62,80
1781,2011,TOYOTA,FJ CRUISER,77,86,70,78
1782,2011,TOYOTA,HIGHLANDER,74,79,68,78
1783,2011,TOYOTA,HIGHLANDER HYBRID,74,79,68,78
1784,2011,TOYOTA,PRIUS,69,85,59,75
1785,2011,TOYOTA,RAV4,72,82,64,81
1786,2011,TOYOTA,SEQUOIA,78,79,65,74
1787,2011,TOYOTA,SIENNA,73,75,70,77
1788,2011,TOYOTA,TACOMA DOUBLE CAB,67,75,56,89
1789,2011,TOYOTA,TACOMA REGULAR CAB,79,81,57,89
1790,2011,TOYOTA,TUNDRA CREWMAX,79,81,57,89
1791,2011,TOYOTA,VENZA,75,82,66,76
1792,2011,VOLKSWAGEN,CC,75,72,73,66
1793,2011,VOLKSWAGEN,GTI,73,65,88,71
1794,2011,VOLKSWAGEN,GOLF,69,71,75,70
1795,2011,VOLKSWAGEN,JETTA,68,74,72,71
1796,2011,VOLKSWAGEN,JETTA SPORTWAGEN,68,74,72,71
1797,2011,VOLKSWAGEN,TIGUAN,67,68,81,69
1798,2011,VOLKSWAGEN,TOUAREG,77,73,73,70
1799,2011,VOLVO,C30,74,73,67,70
1800,2011,VOLVO,C70,65,63,61,69
1801,2011,VOLVO,S60,79,77,75,68
1802,2011,VOLVO,S80,79,83,64,68
1803,2011,VOLVO,XC60,78,78,69,71
1804,2011,VOLVO,XC70,74,80,57,69
1805,2011,VOLVO,XC90,63,63,55,71
1806,2010,ACURA,MDX,77,74,69,73
1807,2010,ACURA,RDX,81,84,69,69
1808,2010,ACURA,TL,86,87,75,73
1809,2010,ACURA,TSX,79,78,69,74
1810,2010,AUDI,A6,85,90,69,67
1811,2010,AUDI,Q5,80,78,75,68
