,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
645,2017,Chrysler,300,78,79,79,78
646,2017,Chrysler,Pacifica,71,74,76,70
647,2017,Dodge,Challenger,76,70,85,91
648,2017,Dodge,Charger,77,70,89,81
649,2017,Dodge,Durango,75,72,81,85
650,2017,Dodge,GRAND CARAVAN PASSENGER,63,71,58,74
651,2017,Dodge,Journey,65,71,63,73
652,2017,FIAT,500,47,54,63,72
653,2017,FIAT,124 Spider,62,69,74,74
654,2017,FIAT,500 Abarth,47,54,63,72
655,2017,FIAT,500c,47,54,63,72
656,2017,Ford,C-Max Energi,67,70,70,74
657,2017,Ford,C-Max Hybrid,67,70,70,74
658,2017,Ford,Edge,78,77,82,80
659,2017,Ford,Escape,77,80,82,80
660,2017,Ford,Expedition,80,80,77,81
661,2017,Ford,Expedition EL,80,80,77,81
662,2017,Ford,Explorer,77,77,79,80
663,2017,Ford,F150 (HERITAGE) SUPER CAB,81,78,79,92
664,2017,Ford,Focus,70,72,76,75
665,2017,Ford,Fusion,75,76,77,78
666,2017,Ford,Fusion Energi,75,76,77,78
667,2017,Ford,Mustang,76,74,81,78
668,2017,Ford,F250 CREW CAB,82,78,83,94
669,2017,Ford,F350 SUPER CAB,82,78,83,94
670,2017,Ford,ECONOLINE E250 CARGO,82,78,83,94
671,2017,Ford,TRANSIT 350 VAN,64,69,64,75
672,2017,Ford,TRANSIT CONNECT PASSENGER,64,69,64,75
673,2017,Ford,TRANSIT 150 VAN,64,69,64,75
674,2017,Ford,TRANSIT 150 WAGON,64,69,64,75
675,2017,Genesis,G80,82,81,79,74
676,2017,Genesis,G90,88,87,89,68
677,2017,GMC,Acadia,73,71,73,74
678,2017,GMC,Acadia Limited,73,71,73,74
679,2017,GMC,CANYON CREW CAB,75,76,72,83
680,2017,GMC,SIERRA 1500 DOUBLE CAB,83,78,77,93
681,2017,GMC,SIERRA 2500 HD CREW CAB,82,74,79,94
682,2017,GMC,SIERRA 3500 HD REGULAR CAB,82,74,79,94
683,2017,GMC,Terrain,76,83,73,79
684,2017,GMC,Yukon,82,75,81,85
685,2017,GMC,Yukon XL,82,75,81,85
687,2017,Honda,Accord Hybrid,77,79,78,85
689,2017,Honda,CR-V,80,83,87,86
693,2017,Honda,Civic Type R,77,80,84,84
694,2017,Honda,Fit,69,79,71,85
695,2017,Honda,HR-V,68,72,76,78
696,2017,Honda,Pilot,76,82,78,76
697,2017,Honda,Ridgeline,77,82,76,85
698,2017,Hyundai,Elantra,74,81,77,78
699,2017,Hyundai,Elantra GT,74,81,77,78
700,2017,Hyundai,Santa Fe,75,79,74,82
701,2017,Hyundai,Santa Fe Sport,75,79,74,82
702,2017,Hyundai,Sonata,75,80,73,81
703,2017,Hyundai,Sonata Hybrid,75,80,73,81
704,2017,Hyundai,Sonata Plug-In Hybrid,75,80,73,81
705,2017,Hyundai,Tucson,71,78,77,78
708,2017,INFINITI,Q60,84,79,80,70
709,2017,INFINITI,QX30,72,62,72,72
710,2017,INFINITI,QX50,78,76,61,72
713,2017,INFINITI,QX80,89,83,76,77
714,2017,Jaguar,F-PACE,72,64,76,73
715,2017,Jaguar,F-TYPE,77,72,69,89
716,2017,Jaguar,XE,74,73,68,74
717,2017,Jeep,Cherokee,71,75,77,84
718,2017,Jeep,Compass,61,69,67,77
719,2017,Jeep,Grand Cherokee,74,75,80,82
720,2017,Jeep,Patriot,64,74,70,76
721,2017,Jeep,Renegade,69,71,81,79
722,2017,Jeep,Wrangler,66,70,67,88
723,2017,Jeep,Wrangler Unlimited,66,70,67,88
724,2017,Kia,Cadenza,86,89,89,79
725,2017,Kia,Forte,75,83,76,77
726,2017,Kia,Niro,76,83,86,76
727,2017,Kia,Optima,78,83,78,79
728,2017,Kia,Optima Hybrid,78,83,78,79
729,2017,Kia,Optima Plug-In Hybrid,78,83,78,79
730,2017,Kia,Sorento,79,86,79,76
731,2017,Kia,Soul,78,85,80,86
732,2017,Kia,Soul EV,78,85,80,86
733,2017,Kia,Sportage,76,82,86,77
734,2017,Land Rover,Discovery Sport,64,55,75,71
735,2017,Land Rover,Range Rover Evoque,66,61,76,72
736,2017,Land Rover,Range Rover Sport,68,59,75,76
737,2017,Lexus,CT,80,84,65,78
738,2017,Lexus,ES,90,91,82,77
741,2017,Lexus,GX,87,85,71,81
742,2017,Lexus,IS,86,80,78,82
743,2017,Lexus,LS,90,88,79,69
744,2017,Lexus,NX,83,81,68,75
747,2017,Lexus,RX,89,86,79,79
748,2017,Lincoln,Continental,89,86,86,70
749,2017,Lincoln,MKC,83,81,78,74
750,2017,Lincoln,MKX,83,78,74,78
751,2017,Lincoln,MKZ,84,84,77,73
752,2017,Lincoln,Navigator,86,85,68,79
753,2017,Lincoln,Navigator L,86,85,68,79
754,2017,Mazda,CX-3,66,71,75,76
755,2017,Mazda,MX-5 Miata,71,77,74,75
756,2017,Mazda,MX-5 Miata RF,71,77,74,75
759,2017,Mazda,Mazda6,76,81,76,78
760,2017,Mercedes-Benz,C-Class,84,80,75,84
761,2017,Mercedes-Benz,CLA,79,76,72,83
762,2017,Mercedes-Benz,E-Class,83,76,78,72
763,2017,Mercedes-Benz,GLA,81,82,75,74
764,2017,Mercedes-Benz,GLC,83,78,81,73
765,2017,Mercedes-Benz,GLE,86,80,79,75
766,2017,Mercedes-Benz,GLS,87,84,71,76
767,2017,Mercedes-Benz,S-Class,92,87,88,69
